id_code,experiment,plate,well,sirna
HEPG2-01_1_B04,HEPG2-01,1,B04,sirna_62
HEPG2-01_1_B18,HEPG2-01,1,B18,sirna_82
HEPG2-01_1_B20,HEPG2-01,1,B20,sirna_66
HEPG2-01_1_C08,HEPG2-01,1,C08,sirna_93
HEPG2-01_1_D09,HEPG2-01,1,D09,sirna_86
HEPG2-01_1_D20,HEPG2-01,1,D20,sirna_90
HEPG2-01_1_E18,HEPG2-01,1,E18,sirna_46
HEPG2-01_1_E21,HEPG2-01,1,E21,sirna_88
HEPG2-01_1_F18,HEPG2-01,1,F18,sirna_23
HEPG2-01_1_F23,HEPG2-01,1,F23,sirna_60
HEPG2-01_1_G15,HEPG2-01,1,G15,sirna_43
HEPG2-01_1_I09,HEPG2-01,1,I09,sirna_45
HEPG2-01_1_I22,HEPG2-01,1,I22,sirna_78
HEPG2-01_1_J18,HEPG2-01,1,J18,sirna_18
HEPG2-01_1_K15,HEPG2-01,1,K15,sirna_51
HEPG2-01_1_K20,HEPG2-01,1,K20,sirna_33
HEPG2-01_1_L17,HEPG2-01,1,L17,sirna_15
HEPG2-01_1_M04,HEPG2-01,1,M04,sirna_58
HEPG2-01_1_N07,HEPG2-01,1,N07,sirna_99
HEPG2-01_1_N10,HEPG2-01,1,N10,sirna_63
HEPG2-01_1_N11,HEPG2-01,1,N11,sirna_13
HEPG2-01_1_N16,HEPG2-01,1,N16,sirna_39
HEPG2-01_1_N23,HEPG2-01,1,N23,sirna_95
HEPG2-01_2_B04,HEPG2-01,2,B04,sirna_57
HEPG2-01_2_B15,HEPG2-01,2,B15,sirna_56
HEPG2-01_2_C04,HEPG2-01,2,C04,sirna_77
HEPG2-01_2_C12,HEPG2-01,2,C12,sirna_55
HEPG2-01_2_D06,HEPG2-01,2,D06,sirna_54
HEPG2-01_2_D09,HEPG2-01,2,D09,sirna_34
HEPG2-01_2_D13,HEPG2-01,2,D13,sirna_49
HEPG2-01_2_E09,HEPG2-01,2,E09,sirna_14
HEPG2-01_2_E19,HEPG2-01,2,E19,sirna_72
HEPG2-01_2_F12,HEPG2-01,2,F12,sirna_67
HEPG2-01_2_G03,HEPG2-01,2,G03,sirna_38
HEPG2-01_2_G04,HEPG2-01,2,G04,sirna_73
HEPG2-01_2_G10,HEPG2-01,2,G10,sirna_64
HEPG2-01_2_G21,HEPG2-01,2,G21,sirna_7
HEPG2-01_2_H08,HEPG2-01,2,H08,sirna_28
HEPG2-01_2_H12,HEPG2-01,2,H12,sirna_30
HEPG2-01_2_I04,HEPG2-01,2,I04,sirna_26
HEPG2-01_2_I18,HEPG2-01,2,I18,sirna_97
HEPG2-01_2_I20,HEPG2-01,2,I20,sirna_4
HEPG2-01_2_J14,HEPG2-01,2,J14,sirna_71
HEPG2-01_2_J16,HEPG2-01,2,J16,sirna_92
HEPG2-01_2_K02,HEPG2-01,2,K02,sirna_42
HEPG2-01_2_K06,HEPG2-01,2,K06,sirna_96
HEPG2-01_2_K08,HEPG2-01,2,K08,sirna_9
HEPG2-01_2_K10,HEPG2-01,2,K10,sirna_8
HEPG2-01_2_K23,HEPG2-01,2,K23,sirna_68
HEPG2-01_2_L03,HEPG2-01,2,L03,sirna_25
HEPG2-01_2_L05,HEPG2-01,2,L05,sirna_47
HEPG2-01_2_L13,HEPG2-01,2,L13,sirna_70
HEPG2-01_2_M21,HEPG2-01,2,M21,sirna_48
HEPG2-01_2_M23,HEPG2-01,2,M23,sirna_3
HEPG2-01_2_N13,HEPG2-01,2,N13,sirna_79
HEPG2-01_2_N17,HEPG2-01,2,N17,sirna_41
HEPG2-01_2_O03,HEPG2-01,2,O03,sirna_37
HEPG2-01_2_O13,HEPG2-01,2,O13,sirna_65
HEPG2-01_2_O23,HEPG2-01,2,O23,sirna_59
HEPG2-01_3_C08,HEPG2-01,3,C08,sirna_74
HEPG2-01_3_C10,HEPG2-01,3,C10,sirna_50
HEPG2-01_3_D07,HEPG2-01,3,D07,sirna_6
HEPG2-01_3_D18,HEPG2-01,3,D18,sirna_0
HEPG2-01_3_D22,HEPG2-01,3,D22,sirna_21
HEPG2-01_3_E02,HEPG2-01,3,E02,sirna_5
HEPG2-01_3_E09,HEPG2-01,3,E09,sirna_1
HEPG2-01_3_E13,HEPG2-01,3,E13,sirna_40
HEPG2-01_3_F02,HEPG2-01,3,F02,sirna_32
HEPG2-01_3_F18,HEPG2-01,3,F18,sirna_85
HEPG2-01_3_G04,HEPG2-01,3,G04,sirna_89
HEPG2-01_3_G09,HEPG2-01,3,G09,sirna_84
HEPG2-01_3_G14,HEPG2-01,3,G14,sirna_80
HEPG2-01_3_G23,HEPG2-01,3,G23,sirna_22
HEPG2-01_3_H12,HEPG2-01,3,H12,sirna_16
HEPG2-01_3_H16,HEPG2-01,3,H16,sirna_61
HEPG2-01_3_J08,HEPG2-01,3,J08,sirna_75
HEPG2-01_3_J23,HEPG2-01,3,J23,sirna_76
HEPG2-01_3_K08,HEPG2-01,3,K08,sirna_24
HEPG2-01_3_K21,HEPG2-01,3,K21,sirna_44
HEPG2-01_3_L14,HEPG2-01,3,L14,sirna_17
HEPG2-01_3_N09,HEPG2-01,3,N09,sirna_10
HEPG2-01_3_N11,HEPG2-01,3,N11,sirna_11
HEPG2-01_3_N18,HEPG2-01,3,N18,sirna_87
HEPG2-01_3_N21,HEPG2-01,3,N21,sirna_2
HEPG2-01_3_O11,HEPG2-01,3,O11,sirna_20
HEPG2-01_3_O18,HEPG2-01,3,O18,sirna_69
HEPG2-01_4_C13,HEPG2-01,4,C13,sirna_19
HEPG2-01_4_D21,HEPG2-01,4,D21,sirna_81
HEPG2-01_4_E10,HEPG2-01,4,E10,sirna_98
HEPG2-01_4_F12,HEPG2-01,4,F12,sirna_53
HEPG2-01_4_G03,HEPG2-01,4,G03,sirna_31
HEPG2-01_4_H17,HEPG2-01,4,H17,sirna_27
HEPG2-01_4_H21,HEPG2-01,4,H21,sirna_94
HEPG2-01_4_I10,HEPG2-01,4,I10,sirna_36
HEPG2-01_4_J08,HEPG2-01,4,J08,sirna_29
HEPG2-01_4_K02,HEPG2-01,4,K02,sirna_83
HEPG2-01_4_K09,HEPG2-01,4,K09,sirna_35
HEPG2-01_4_N02,HEPG2-01,4,N02,sirna_12
HEPG2-01_4_N16,HEPG2-01,4,N16,sirna_91
HEPG2-02_1_B04,HEPG2-02,1,B04,sirna_46
HEPG2-02_1_B12,HEPG2-02,1,B12,sirna_45
HEPG2-02_1_C13,HEPG2-02,1,C13,sirna_63
HEPG2-02_1_D21,HEPG2-02,1,D21,sirna_18
HEPG2-02_1_E06,HEPG2-02,1,E06,sirna_58
HEPG2-02_1_E07,HEPG2-02,1,E07,sirna_66
HEPG2-02_1_E13,HEPG2-02,1,E13,sirna_39
HEPG2-02_1_E21,HEPG2-02,1,E21,sirna_43
HEPG2-02_1_F16,HEPG2-02,1,F16,sirna_93
HEPG2-02_1_I02,HEPG2-02,1,I02,sirna_13
HEPG2-02_1_I08,HEPG2-02,1,I08,sirna_78
HEPG2-02_1_K10,HEPG2-02,1,K10,sirna_62
HEPG2-02_1_K19,HEPG2-02,1,K19,sirna_82
HEPG2-02_1_L05,HEPG2-02,1,L05,sirna_86
HEPG2-02_1_L13,HEPG2-02,1,L13,sirna_23
HEPG2-02_1_L16,HEPG2-02,1,L16,sirna_60
HEPG2-02_1_M04,HEPG2-02,1,M04,sirna_90
HEPG2-02_1_M06,HEPG2-02,1,M06,sirna_95
HEPG2-02_1_M13,HEPG2-02,1,M13,sirna_33
HEPG2-02_1_M20,HEPG2-02,1,M20,sirna_88
HEPG2-02_1_N02,HEPG2-02,1,N02,sirna_51
HEPG2-02_1_N06,HEPG2-02,1,N06,sirna_15
HEPG2-02_1_O13,HEPG2-02,1,O13,sirna_99
HEPG2-02_2_B03,HEPG2-02,2,B03,sirna_28
HEPG2-02_2_B05,HEPG2-02,2,B05,sirna_73
HEPG2-02_2_B16,HEPG2-02,2,B16,sirna_41
HEPG2-02_2_B18,HEPG2-02,2,B18,sirna_49
HEPG2-02_2_B19,HEPG2-02,2,B19,sirna_72
HEPG2-02_2_C10,HEPG2-02,2,C10,sirna_48
HEPG2-02_2_E18,HEPG2-02,2,E18,sirna_3
HEPG2-02_2_E21,HEPG2-02,2,E21,sirna_59
HEPG2-02_2_F12,HEPG2-02,2,F12,sirna_8
HEPG2-02_2_F14,HEPG2-02,2,F14,sirna_55
HEPG2-02_2_G16,HEPG2-02,2,G16,sirna_25
HEPG2-02_2_G20,HEPG2-02,2,G20,sirna_7
HEPG2-02_2_H06,HEPG2-02,2,H06,sirna_14
HEPG2-02_2_H08,HEPG2-02,2,H08,sirna_68
HEPG2-02_2_H09,HEPG2-02,2,H09,sirna_64
HEPG2-02_2_H20,HEPG2-02,2,H20,sirna_77
HEPG2-02_2_H21,HEPG2-02,2,H21,sirna_54
HEPG2-02_2_I04,HEPG2-02,2,I04,sirna_47
HEPG2-02_2_I21,HEPG2-02,2,I21,sirna_92
HEPG2-02_2_I23,HEPG2-02,2,I23,sirna_57
HEPG2-02_2_J21,HEPG2-02,2,J21,sirna_34
HEPG2-02_2_K22,HEPG2-02,2,K22,sirna_97
HEPG2-02_2_L03,HEPG2-02,2,L03,sirna_96
HEPG2-02_2_L05,HEPG2-02,2,L05,sirna_26
HEPG2-02_2_L12,HEPG2-02,2,L12,sirna_71
HEPG2-02_2_L15,HEPG2-02,2,L15,sirna_38
HEPG2-02_2_M06,HEPG2-02,2,M06,sirna_70
HEPG2-02_2_M09,HEPG2-02,2,M09,sirna_42
HEPG2-02_2_M16,HEPG2-02,2,M16,sirna_67
HEPG2-02_2_M21,HEPG2-02,2,M21,sirna_9
HEPG2-02_2_N08,HEPG2-02,2,N08,sirna_56
HEPG2-02_2_N20,HEPG2-02,2,N20,sirna_79
HEPG2-02_2_O06,HEPG2-02,2,O06,sirna_30
HEPG2-02_2_O08,HEPG2-02,2,O08,sirna_4
HEPG2-02_2_O09,HEPG2-02,2,O09,sirna_65
HEPG2-02_2_O19,HEPG2-02,2,O19,sirna_37
HEPG2-02_3_B14,HEPG2-02,3,B14,sirna_40
HEPG2-02_3_B15,HEPG2-02,3,B15,sirna_75
HEPG2-02_3_B20,HEPG2-02,3,B20,sirna_80
HEPG2-02_3_C06,HEPG2-02,3,C06,sirna_61
HEPG2-02_3_C18,HEPG2-02,3,C18,sirna_32
